아이디,성별,연령별,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1,문3-2. 고려한 관광인프라_1,여행동반자_그룹,방문 지역 수,여행 패턴,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,문3-1. 고려한 관광활동_1순위
4098,1,3,4,가성비 및 접근성,안전 및 퀄리티,친구형,1,서울 단기형,365.8275,4.0,도시 소비형
4099,2,2,3,경험형,여행 편의성,직장형,2,서울 심층형,141.133333333333,6.0,"역사, 전통, 자연"
4101,2,2,4,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,255.3444,5.0,도시 소비형
4102,2,3,1,경험형,안전 및 퀄리티,친구형,2,서울 심층형,249.757,10.0,도시 소비형
4103,2,2,1,경험형,안전 및 퀄리티,가족형,2,서울 심층형,331.25,8.0,경험형
4105,2,3,2,경험형,여행 편의성,가족형,1,서울 심층형,231.428571428571,7.0,"역사, 전통, 자연"
4108,2,2,2,콘텐츠 및 문화,여행 편의성,혼자형,1,서울 심층형,414.605333333333,6.0,경험형
4109,2,4,1,경험형,안전 및 퀄리티,가족형,1,서울 심층형,1687.5,7.0,경험형
4111,2,3,1,경험형,안전 및 퀄리티,단체형,2,서울 심층형,320.0,8.0,"역사, 전통, 자연"
4117,1,3,1,콘텐츠 및 문화,안전 및 퀄리티,가족형,2,서울 심층형,231.7194,7.0,"역사, 전통, 자연"
4119,2,2,1,경험형,여행 편의성,혼자형,2,서울 심층형,194.557083333333,12.0,"역사, 전통, 자연"
4124,2,3,2,가성비 및 접근성,안전 및 퀄리티,친구형,1,서울 단기형,398.0,5.0,특수 목적
4125,2,2,1,콘텐츠 및 문화,안전 및 퀄리티,가족형,3,서울 심층형,153.139743589744,13.0,도시 소비형
4132,1,2,1,콘텐츠 및 문화,가성비,친구형,1,서울 심층형,387.821428571428,7.0,도시 소비형
4134,2,2,1,경험형,여행 편의성,친구형,3,서울 심층형,265.378181818182,11.0,경험형
4135,2,2,1,콘텐츠 및 문화,가성비,친구형,1,서울 단기형,242.0,3.0,도시 소비형
4137,2,4,4,경험형,여행 편의성,친구형,1,서울 단기형,220.0,3.0,특수 목적
4138,1,2,1,콘텐츠 및 문화,여행 편의성,친구형,1,서울 심층형,65.154,15.0,"역사, 전통, 자연"
4142,1,2,1,가성비 및 접근성,안전 및 퀄리티,친구형,1,서울 단기형,280.5,4.0,특수 목적
4143,2,5,3,가성비 및 접근성,안전 및 퀄리티,가족형,1,서울 단기형,320.925,4.0,경험형
4145,1,2,1,경험형,가성비,직장형,3,수도권/지방형(탐험가형),600.0,7.0,특수 목적
4147,2,5,1,콘텐츠 및 문화,가성비,가족형,1,서울 단기형,236.373333333333,5.0,"역사, 전통, 자연"
4148,1,2,1,경험형,안전 및 퀄리티,친구형,4,서울 심층형,187.44,6.0,도시 소비형
4149,1,2,1,경험형,가성비,직장형,1,서울 단기형,309.66138,5.0,도시 소비형
4150,1,2,1,경험형,여행 편의성,직장형,1,서울 단기형,372.330945,5.0,도시 소비형
4151,2,2,1,경험형,여행 편의성,직장형,1,서울 단기형,589.8312,5.0,도시 소비형
4152,2,2,2,콘텐츠 및 문화,안전 및 퀄리티,친구형,1,서울 단기형,253.0,3.0,도시 소비형
4153,2,3,1,콘텐츠 및 문화,가성비,가족형,1,서울 단기형,264.0,4.0,"역사, 전통, 자연"
4154,2,5,4,경험형,안전 및 퀄리티,친구형,1,수도권/지방형(탐험가형),1687.5,2.0,도시 소비형
4155,1,6,4,기타,가성비,혼자형,1,수도권/지방형(탐험가형),924.0,2.0,경험형
4156,1,3,4,경험형,안전 및 퀄리티,가족형,1,서울 심층형,273.857142857143,7.0,특수 목적
4159,1,5,3,경험형,여행 편의성,혼자형,1,서울 단기형,242.82,3.0,도시 소비형
4160,2,2,1,경험형,안전 및 퀄리티,직장형,1,서울 단기형,368.6445,5.0,도시 소비형
4161,2,2,1,경험형,여행 편의성,친구형,1,서울 단기형,214.5,4.0,경험형
4162,2,2,1,경험형,안전 및 퀄리티,친구형,1,서울 심층형,112.817777777778,9.0,도시 소비형
4164,2,2,1,경험형,여행 편의성,직장형,1,서울 단기형,339.15294,5.0,도시 소비형
4165,2,3,1,경험형,여행 편의성,혼자형,1,서울 단기형,297.8,4.0,도시 소비형
4166,2,2,2,가성비 및 접근성,여행 편의성,직장형,1,서울 단기형,339.15294,5.0,도시 소비형
4170,2,5,4,가성비 및 접근성,가성비,가족형,1,서울 단기형,244.2,3.0,도시 소비형
4171,1,3,1,경험형,여행 편의성,직장형,1,서울 단기형,383.39028,5.0,도시 소비형
4172,2,2,1,가성비 및 접근성,가성비,친구형,1,서울 단기형,167.2,3.0,"역사, 전통, 자연"
4173,1,3,1,경험형,여행 편의성,직장형,1,서울 단기형,412.88184,5.0,도시 소비형
4177,2,3,1,경험형,안전 및 퀄리티,직장형,1,서울 심층형,315.981,7.0,도시 소비형
4178,1,2,1,경험형,안전 및 퀄리티,가족형,3,서울 심층형,162.775,14.0,"역사, 전통, 자연"
4179,2,2,1,경험형,안전 및 퀄리티,친구형,2,서울 심층형,266.359090909091,11.0,특수 목적
4181,1,2,1,경험형,여행 편의성,가족형,3,서울 심층형,260.575,8.0,"역사, 전통, 자연"
4183,2,3,1,경험형,여행 편의성,가족형,1,서울 단기형,205.349,5.0,경험형
4184,1,2,1,경험형,여행 편의성,가족형,2,서울 심층형,168.183888888889,9.0,특수 목적
4185,2,5,4,경험형,안전 및 퀄리티,혼자형,1,서울 단기형,421.883333333333,3.0,도시 소비형
4190,2,4,4,경험형,가성비,단체형,3,서울 심층형,263.112857142857,7.0,도시 소비형
4191,1,3,1,경험형,여행 편의성,혼자형,2,수도권/지방형(탐험가형),333.333333333333,3.0,"역사, 전통, 자연"
4192,2,5,1,경험형,안전 및 퀄리티,단체형,3,서울 심층형,263.112857142857,7.0,도시 소비형
4193,2,4,2,경험형,여행 편의성,가족형,2,서울 심층형,212.714285714286,7.0,도시 소비형
4194,2,5,3,경험형,여행 편의성,가족형,1,서울 단기형,238.24,5.0,도시 소비형
4196,2,3,2,경험형,안전 및 퀄리티,가족형,3,서울 심층형,278.857142857143,7.0,특수 목적
4198,1,4,1,경험형,여행 편의성,가족형,4,서울 심층형,558.375,8.0,도시 소비형
4199,2,3,1,경험형,여행 편의성,가족형,3,서울 심층형,322.8425,6.0,"역사, 전통, 자연"
4202,1,6,1,가성비 및 접근성,여행 편의성,가족형,1,서울 단기형,716.21,5.0,"역사, 전통, 자연"
4204,1,2,1,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,258.555,4.0,도시 소비형
4205,2,3,1,경험형,가성비,직장형,1,서울 단기형,385.0,3.0,도시 소비형
4206,1,2,2,경험형,여행 편의성,가족형,1,서울 심층형,174.5,10.0,경험형
4207,2,3,1,경험형,안전 및 퀄리티,친구형,2,서울 단기형,500.0,5.0,특수 목적
4214,2,2,1,경험형,여행 편의성,혼자형,2,서울 단기형,279.24,5.0,경험형
4215,1,2,2,경험형,여행 편의성,복합형(가족+친구),2,서울 단기형,1073.105,4.0,경험형
4216,2,5,1,콘텐츠 및 문화,여행 편의성,복합형(가족+친구),1,서울 단기형,313.25,4.0,도시 소비형
4219,2,5,3,경험형,여행 편의성,복합형(가족+친구),1,서울 단기형,363.564166666667,4.0,"역사, 전통, 자연"
4220,1,5,1,콘텐츠 및 문화,여행 편의성,혼자형,1,서울 단기형,1269.2,4.0,"역사, 전통, 자연"
4222,2,2,1,경험형,가성비,친구형,1,서울 단기형,286.0,3.0,특수 목적
4223,1,5,1,경험형,여행 편의성,직장형,1,서울 단기형,383.39028,5.0,도시 소비형
4225,1,5,1,경험형,안전 및 퀄리티,가족형,2,서울 단기형,199.368,5.0,도시 소비형
4226,2,2,1,콘텐츠 및 문화,안전 및 퀄리티,가족형,1,서울 심층형,186.154285714286,7.0,"역사, 전통, 자연"
4227,2,2,2,가성비 및 접근성,가성비,친구형,1,서울 단기형,264.0,3.0,도시 소비형
4228,2,5,1,경험형,안전 및 퀄리티,직장형,1,서울 단기형,405.50895,5.0,도시 소비형
4229,2,5,2,경험형,안전 및 퀄리티,가족형,1,서울 심층형,94.0477777777778,9.0,경험형
4230,2,2,1,콘텐츠 및 문화,안전 및 퀄리티,혼자형,2,서울 심층형,217.18,20.0,특수 목적
4233,2,5,1,경험형,여행 편의성,직장형,1,서울 단기형,383.39028,5.0,도시 소비형
4237,2,2,1,콘텐츠 및 문화,여행 편의성,가족형,2,서울 단기형,297.8,5.0,"역사, 전통, 자연"
4240,2,3,2,경험형,여행 편의성,가족형,1,서울 단기형,400.16875,4.0,도시 소비형
4247,2,2,3,경험형,여행 편의성,가족형,1,서울 심층형,745.5,6.0,특수 목적
4248,2,5,1,경험형,안전 및 퀄리티,가족형,2,서울 단기형,306.72,5.0,"역사, 전통, 자연"
4252,2,2,1,콘텐츠 및 문화,가성비,친구형,1,서울 단기형,248.6,3.0,특수 목적
4254,1,4,1,콘텐츠 및 문화,가성비,친구형,1,서울 단기형,589.62,5.0,도시 소비형
4256,2,2,1,콘텐츠 및 문화,안전 및 퀄리티,혼자형,1,서울 단기형,1687.5,4.0,도시 소비형
4257,2,2,1,가성비 및 접근성,여행 편의성,혼자형,1,서울 단기형,753.603333333333,3.0,경험형
4258,2,3,4,가성비 및 접근성,안전 및 퀄리티,혼자형,1,서울 심층형,693.5,6.0,특수 목적
4259,2,3,1,가성비 및 접근성,여행 편의성,친구형,1,서울 단기형,832.2,5.0,경험형
4260,2,2,1,가성비 및 접근성,여행 편의성,혼자형,1,서울 단기형,471.58,5.0,경험형
4261,1,2,1,콘텐츠 및 문화,안전 및 퀄리티,혼자형,1,서울 심층형,161.5855,10.0,경험형
4262,2,1,1,콘텐츠 및 문화,여행 편의성,혼자형,1,서울 단기형,109.725,4.0,도시 소비형
4263,1,2,1,가성비 및 접근성,여행 편의성,단체형,1,서울 단기형,976.36,5.0,특수 목적
4264,2,2,1,콘텐츠 및 문화,여행 편의성,직장형,1,서울 단기형,234.58,5.0,경험형
4265,1,2,1,가성비 및 접근성,여행 편의성,가족형,1,서울 단기형,211.2,4.0,도시 소비형
4266,1,2,1,경험형,가성비,친구형,2,서울 심층형,170.5,6.0,특수 목적
4268,2,4,3,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,346.75,3.0,도시 소비형
4269,2,2,4,콘텐츠 및 문화,여행 편의성,가족형,1,서울 단기형,200.475,2.0,도시 소비형
4271,1,2,1,경험형,안전 및 퀄리티,친구형,1,서울 단기형,280.976625,4.0,"역사, 전통, 자연"
4272,2,5,4,가성비 및 접근성,안전 및 퀄리티,친구형,1,서울 단기형,440.0,3.0,도시 소비형
4274,1,6,1,경험형,안전 및 퀄리티,친구형,2,서울 단기형,206.58,4.0,도시 소비형
4276,2,3,1,경험형,안전 및 퀄리티,혼자형,1,서울 단기형,740.0,5.0,"역사, 전통, 자연"
4277,2,3,1,경험형,가성비,직장형,1,서울 심층형,328.571428571429,7.0,경험형
4278,2,2,4,콘텐츠 및 문화,여행 편의성,친구형,1,서울 심층형,171.6,8.0,특수 목적
4279,2,1,2,콘텐츠 및 문화,가성비,친구형,1,서울 심층형,118.2,11.0,도시 소비형
4280,2,3,4,가성비 및 접근성,여행 편의성,가족형,2,서울 단기형,156.42,5.0,특수 목적
4281,2,5,4,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,324.225,4.0,도시 소비형
4285,2,2,1,경험형,여행 편의성,친구형,2,서울 단기형,286.44,5.0,도시 소비형
4286,2,5,4,콘텐츠 및 문화,여행 편의성,가족형,1,서울 단기형,193.875,4.0,도시 소비형
4287,2,6,4,콘텐츠 및 문화,여행 편의성,혼자형,1,서울 단기형,429.0,2.0,도시 소비형
4288,1,3,1,가성비 및 접근성,가성비,친구형,2,수도권/지방형(탐험가형),298.65,4.0,특수 목적
4290,2,2,4,경험형,여행 편의성,가족형,1,서울 단기형,334.4,3.0,도시 소비형
4291,2,3,2,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,278.85,4.0,도시 소비형
4293,2,6,1,콘텐츠 및 문화,여행 편의성,기타형,1,서울 단기형,175.7329,3.0,경험형
4294,1,6,3,콘텐츠 및 문화,가성비,기타형,1,수도권/지방형(탐험가형),231.166666666667,3.0,"역사, 전통, 자연"
4299,2,2,4,경험형,여행 편의성,단체형,1,서울 심층형,257.568333333333,6.0,도시 소비형
4300,1,2,2,경험형,여행 편의성,가족형,1,서울 심층형,160.287142857143,7.0,특수 목적
4301,1,5,4,경험형,여행 편의성,친구형,1,서울 심층형,426.666666666667,6.0,도시 소비형
4302,2,3,2,경험형,여행 편의성,가족형,1,서울 단기형,227.5,4.0,도시 소비형
4304,2,3,1,경험형,여행 편의성,직장형,1,수도권/지방형(탐험가형),200.0,7.0,도시 소비형
4307,2,4,1,경험형,여행 편의성,가족형,3,서울 심층형,280.0,6.0,"역사, 전통, 자연"
4308,2,2,2,경험형,가성비,친구형,1,서울 단기형,280.5025,4.0,"역사, 전통, 자연"
4312,2,4,2,가성비 및 접근성,여행 편의성,친구형,1,서울 단기형,357.0,4.0,도시 소비형
4317,2,6,4,기타,가성비,친구형,1,서울 단기형,476.85,4.0,도시 소비형
4322,2,2,1,경험형,안전 및 퀄리티,혼자형,3,서울 심층형,315.774375,12.0,도시 소비형
4327,1,3,1,경험형,안전 및 퀄리티,기타형,4,서울 심층형,380.76,11.0,"역사, 전통, 자연"
4328,2,4,2,콘텐츠 및 문화,여행 편의성,복합형(가족+친구),2,서울 심층형,246.857142857143,7.0,"역사, 전통, 자연"
4332,1,2,1,경험형,여행 편의성,혼자형,1,서울 심층형,269.705,8.0,"역사, 전통, 자연"
4333,2,2,2,콘텐츠 및 문화,안전 및 퀄리티,친구형,1,서울 단기형,352.0,3.0,특수 목적
4334,1,2,3,경험형,안전 및 퀄리티,친구형,1,서울 단기형,138.7,4.0,도시 소비형
4336,2,2,4,콘텐츠 및 문화,안전 및 퀄리티,혼자형,1,서울 심층형,263.466666666667,6.0,경험형
4337,2,3,4,경험형,가성비,친구형,1,서울 단기형,231.0,3.0,도시 소비형
4338,1,4,1,경험형,여행 편의성,가족형,1,서울 단기형,478.725,4.0,"역사, 전통, 자연"
4339,2,3,1,콘텐츠 및 문화,여행 편의성,친구형,2,서울 심층형,549.466666666667,6.0,"역사, 전통, 자연"
4340,2,2,2,경험형,여행 편의성,가족형,1,서울 심층형,312.19625,8.0,"역사, 전통, 자연"
4343,2,2,1,콘텐츠 및 문화,가성비,혼자형,2,서울 심층형,203.60625,8.0,"역사, 전통, 자연"
4344,2,5,4,콘텐츠 및 문화,여행 편의성,가족형,4,서울 단기형,187.03,5.0,도시 소비형
4346,2,4,2,가성비 및 접근성,여행 편의성,가족형,1,서울 단기형,733.572666666667,3.0,경험형
4349,1,5,2,경험형,안전 및 퀄리티,가족형,2,서울 심층형,44.1301111111111,45.0,"역사, 전통, 자연"
4351,1,2,1,경험형,안전 및 퀄리티,혼자형,1,서울 심층형,187.526576923077,13.0,도시 소비형
4352,1,2,1,콘텐츠 및 문화,여행 편의성,혼자형,1,서울 심층형,542.95,7.0,도시 소비형
4353,2,5,1,경험형,여행 편의성,가족형,3,수도권/지방형(탐험가형),104.065416666667,12.0,"역사, 전통, 자연"
4355,2,3,3,경험형,안전 및 퀄리티,친구형,2,서울 심층형,296.154545454546,11.0,특수 목적
4356,2,2,1,경험형,여행 편의성,친구형,1,서울 심층형,387.821428571429,7.0,경험형
4357,2,4,4,콘텐츠 및 문화,여행 편의성,혼자형,1,서울 단기형,530.975,4.0,도시 소비형
4360,2,5,1,경험형,여행 편의성,가족형,2,서울 심층형,371.015833333333,6.0,경험형
4363,2,6,1,콘텐츠 및 문화,여행 편의성,가족형,2,서울 심층형,169.066666666667,15.0,"역사, 전통, 자연"
4364,2,4,3,경험형,여행 편의성,혼자형,1,서울 단기형,727.5,4.0,도시 소비형
4367,1,3,1,경험형,여행 편의성,혼자형,2,수도권/지방형(탐험가형),160.471888888889,18.0,"역사, 전통, 자연"
4368,1,2,1,경험형,안전 및 퀄리티,가족형,2,수도권/지방형(탐험가형),162.885,6.0,"역사, 전통, 자연"
4369,2,2,1,콘텐츠 및 문화,안전 및 퀄리티,직장형,1,서울 심층형,155.128571428571,7.0,"역사, 전통, 자연"
4370,2,2,1,경험형,안전 및 퀄리티,친구형,4,서울 심층형,79.6326666666667,15.0,"역사, 전통, 자연"
4371,2,4,1,콘텐츠 및 문화,안전 및 퀄리티,가족형,2,서울 심층형,318.789214285714,7.0,도시 소비형
4372,1,3,1,콘텐츠 및 문화,안전 및 퀄리티,가족형,1,서울 심층형,500.0,6.0,도시 소비형
4374,2,3,4,경험형,여행 편의성,가족형,1,서울 심층형,218.377777777778,6.0,도시 소비형
4376,2,2,1,경험형,안전 및 퀄리티,직장형,1,서울 단기형,269.45,5.0,"역사, 전통, 자연"
4379,2,2,1,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,138.7,5.0,경험형
4380,2,3,1,경험형,안전 및 퀄리티,가족형,1,서울 단기형,520.88,5.0,"역사, 전통, 자연"
4381,2,2,1,콘텐츠 및 문화,가성비,친구형,1,서울 단기형,289.3,3.0,"역사, 전통, 자연"
4382,2,2,1,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,199.65,4.0,도시 소비형
4383,2,4,2,기타,안전 및 퀄리티,직장형,1,서울 단기형,140.114,5.0,"역사, 전통, 자연"
4386,2,2,1,경험형,가성비,단체형,1,서울 심층형,167.061538461538,13.0,도시 소비형
4387,2,4,3,기타,여행 편의성,직장형,3,서울 단기형,139.48,5.0,도시 소비형
4391,1,2,3,콘텐츠 및 문화,안전 및 퀄리티,혼자형,1,서울 심층형,323.633333333333,6.0,경험형
4392,2,3,4,가성비 및 접근성,여행 편의성,혼자형,1,서울 단기형,1479.33333333333,3.0,경험형
4397,2,5,1,경험형,안전 및 퀄리티,가족형,1,서울 단기형,200.0,5.0,도시 소비형
4400,1,4,2,경험형,안전 및 퀄리티,친구형,1,서울 단기형,305.2,5.0,특수 목적
4403,2,4,4,가성비 및 접근성,가성비,친구형,1,서울 단기형,252.0,5.0,특수 목적
4404,2,1,1,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,172.04,3.0,경험형
4405,2,2,2,가성비 및 접근성,가성비,친구형,1,서울 단기형,184.8,3.0,특수 목적
4407,2,2,4,콘텐츠 및 문화,여행 편의성,가족형,1,서울 단기형,188.32,3.0,도시 소비형
4410,2,4,4,콘텐츠 및 문화,가성비,가족형,1,서울 단기형,173.25,4.0,특수 목적
4413,2,4,4,가성비 및 접근성,여행 편의성,가족형,1,서울 단기형,173.25,4.0,"역사, 전통, 자연"
4415,1,3,2,가성비 및 접근성,안전 및 퀄리티,혼자형,1,수도권/지방형(탐험가형),364.0,4.0,도시 소비형
4418,2,2,1,콘텐츠 및 문화,여행 편의성,단체형,1,서울 단기형,149.6,3.0,경험형
4420,2,4,4,경험형,여행 편의성,혼자형,1,서울 심층형,184.272857142857,7.0,"역사, 전통, 자연"
4423,1,2,4,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,209.0,3.0,도시 소비형
4425,2,2,1,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,202.4,3.0,도시 소비형
4428,2,3,1,가성비 및 접근성,여행 편의성,가족형,1,서울 단기형,229.35,3.0,특수 목적
4431,2,2,3,경험형,여행 편의성,친구형,1,서울 심층형,104.285714285714,7.0,경험형
4433,1,4,4,가성비 및 접근성,가성비,혼자형,1,서울 단기형,838.2,2.0,경험형
4434,1,6,4,가성비 및 접근성,가성비,가족형,1,서울 단기형,224.4,3.0,특수 목적
4435,2,6,1,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,325.0,4.0,경험형
4436,1,2,2,경험형,여행 편의성,혼자형,1,서울 단기형,366.666666666667,3.0,경험형
4438,2,3,4,경험형,여행 편의성,친구형,1,서울 단기형,597.333333333333,3.0,도시 소비형
4441,2,5,4,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,250.8,3.0,도시 소비형
4442,2,3,4,경험형,안전 및 퀄리티,혼자형,2,서울 단기형,308.0,3.0,도시 소비형
4443,2,3,4,콘텐츠 및 문화,여행 편의성,혼자형,1,서울 단기형,268.153333333333,3.0,도시 소비형
4444,1,5,4,콘텐츠 및 문화,여행 편의성,가족형,2,서울 단기형,227.7,4.0,경험형
4446,2,3,4,콘텐츠 및 문화,안전 및 퀄리티,혼자형,1,서울 단기형,508.566666666667,3.0,도시 소비형
4448,1,4,4,경험형,안전 및 퀄리티,가족형,1,서울 단기형,181.5,4.0,도시 소비형
4449,2,3,1,경험형,여행 편의성,친구형,1,서울 심층형,238.0,6.0,도시 소비형
4450,2,3,4,콘텐츠 및 문화,안전 및 퀄리티,친구형,1,서울 단기형,230.242,5.0,도시 소비형
4451,2,4,4,경험형,안전 및 퀄리티,혼자형,1,서울 심층형,223.461111111111,9.0,도시 소비형
4453,2,3,1,콘텐츠 및 문화,가성비,가족형,1,서울 단기형,247.5,4.0,특수 목적
4454,2,3,3,콘텐츠 및 문화,여행 편의성,가족형,1,서울 단기형,395.5,4.0,특수 목적
4457,2,4,2,가성비 및 접근성,여행 편의성,단체형,1,서울 심층형,485.45,6.0,특수 목적
4461,2,3,1,경험형,여행 편의성,가족형,2,서울 단기형,376.826,5.0,"역사, 전통, 자연"
4463,1,2,1,가성비 및 접근성,안전 및 퀄리티,단체형,4,서울 심층형,186.125,7.0,경험형
4465,2,3,4,콘텐츠 및 문화,여행 편의성,친구형,1,서울 심층형,495.357142857143,7.0,경험형
4467,1,4,1,경험형,여행 편의성,단체형,3,서울 심층형,224.93125,8.0,특수 목적
4470,1,2,1,콘텐츠 및 문화,여행 편의성,가족형,1,서울 단기형,277.4,5.0,"역사, 전통, 자연"
4474,2,2,3,경험형,안전 및 퀄리티,가족형,2,서울 심층형,232.65625,8.0,도시 소비형
4476,1,2,1,경험형,안전 및 퀄리티,친구형,1,서울 심층형,217.145833333333,6.0,도시 소비형
4480,1,3,1,가성비 및 접근성,여행 편의성,친구형,2,서울 심층형,260.7,6.0,특수 목적
4484,2,2,1,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,138.7,5.0,"역사, 전통, 자연"
4486,1,5,1,콘텐츠 및 문화,여행 편의성,가족형,1,서울 단기형,138.7,5.0,"역사, 전통, 자연"
4489,1,3,1,경험형,안전 및 퀄리티,혼자형,1,서울 심층형,272.051283333333,6.0,도시 소비형
4490,2,2,1,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,180.4,3.0,도시 소비형
4494,1,5,4,기타,여행 편의성,혼자형,1,서울 단기형,712.8,2.0,도시 소비형
4495,2,5,4,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,277.4,5.0,도시 소비형
4497,2,3,4,경험형,안전 및 퀄리티,가족형,1,서울 심층형,177.261904761905,7.0,도시 소비형
4499,2,2,1,경험형,안전 및 퀄리티,복합형(가족+친구),3,서울 심층형,132.355555555556,6.0,도시 소비형
4500,2,2,1,가성비 및 접근성,안전 및 퀄리티,가족형,1,서울 단기형,152.57,5.0,경험형
4502,2,4,1,콘텐츠 및 문화,여행 편의성,단체형,3,서울 심층형,178.68,10.0,특수 목적
4503,2,2,2,콘텐츠 및 문화,여행 편의성,혼자형,1,서울 단기형,194.18,5.0,특수 목적
4504,1,5,3,경험형,안전 및 퀄리티,가족형,1,서울 단기형,277.32625,5.0,"역사, 전통, 자연"
4506,2,2,1,콘텐츠 및 문화,여행 편의성,가족형,1,서울 심층형,150.258333333333,6.0,경험형
4507,1,3,1,콘텐츠 및 문화,여행 편의성,친구형,3,서울 심층형,377.248785714286,7.0,특수 목적
4508,2,4,1,가성비 및 접근성,안전 및 퀄리티,가족형,1,서울 단기형,408.0,5.0,"역사, 전통, 자연"
4511,2,2,1,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,1687.5,4.0,도시 소비형
4517,2,5,4,경험형,가성비,혼자형,2,서울 심층형,272.378333333333,6.0,"역사, 전통, 자연"
4521,1,5,1,콘텐츠 및 문화,가성비,가족형,2,서울 단기형,221.92,5.0,도시 소비형
4525,1,4,2,콘텐츠 및 문화,안전 및 퀄리티,가족형,2,서울 단기형,638.02,5.0,도시 소비형
4529,1,5,1,경험형,가성비,혼자형,1,서울 단기형,651.1,4.0,"역사, 전통, 자연"
4536,2,4,2,경험형,여행 편의성,친구형,1,서울 단기형,385.4,5.0,특수 목적
4544,1,2,1,경험형,여행 편의성,친구형,1,서울 심층형,151.466666666667,6.0,경험형
4549,1,2,1,콘텐츠 및 문화,여행 편의성,친구형,2,서울 심층형,232.535714285714,7.0,도시 소비형
4551,2,2,1,경험형,안전 및 퀄리티,친구형,1,서울 단기형,244.196,5.0,"역사, 전통, 자연"
4554,2,2,1,가성비 및 접근성,여행 편의성,가족형,2,서울 심층형,252.7848,7.0,도시 소비형
4568,1,3,4,경험형,가성비,가족형,1,서울 단기형,270.465,4.0,도시 소비형
4569,2,4,2,콘텐츠 및 문화,가성비,친구형,1,서울 단기형,247.5,4.0,도시 소비형
4570,2,4,4,경험형,여행 편의성,친구형,1,서울 단기형,294.8,3.0,도시 소비형
4573,2,5,3,경험형,여행 편의성,친구형,1,서울 단기형,558.2675,4.0,도시 소비형
4574,1,5,1,콘텐츠 및 문화,여행 편의성,가족형,1,서울 단기형,346.75,4.0,경험형
4575,1,5,4,콘텐츠 및 문화,가성비,가족형,1,서울 단기형,1114.3,3.0,경험형
4576,2,6,1,경험형,여행 편의성,친구형,2,수도권/지방형(탐험가형),706.666666666667,3.0,특수 목적
4577,2,4,4,경험형,여행 편의성,친구형,1,서울 단기형,287.6775,4.0,도시 소비형
4578,1,5,3,콘텐츠 및 문화,여행 편의성,혼자형,1,서울 심층형,457.385714285714,7.0,경험형
4579,2,3,4,콘텐츠 및 문화,안전 및 퀄리티,친구형,1,서울 단기형,355.04,5.0,도시 소비형
4582,2,5,4,콘텐츠 및 문화,여행 편의성,혼자형,1,서울 단기형,519.0875,4.0,도시 소비형
4583,2,6,1,경험형,여행 편의성,혼자형,1,서울 심층형,292.417357142857,7.0,"역사, 전통, 자연"
4584,2,2,1,가성비 및 접근성,가성비,친구형,1,서울 단기형,275.0,3.0,도시 소비형
4585,2,5,1,콘텐츠 및 문화,가성비,가족형,1,서울 단기형,256.85,3.0,도시 소비형
4586,2,3,1,경험형,여행 편의성,혼자형,1,서울 단기형,802.5,4.0,"역사, 전통, 자연"
4587,2,5,4,콘텐츠 및 문화,여행 편의성,가족형,1,서울 단기형,220.0,3.0,도시 소비형
4588,2,1,2,콘텐츠 및 문화,가성비,친구형,1,서울 단기형,176.0,3.0,특수 목적
4590,2,2,2,콘텐츠 및 문화,가성비,가족형,1,서울 단기형,215.6,3.0,경험형
4591,2,5,3,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,206.8,3.0,도시 소비형
4592,2,1,4,가성비 및 접근성,여행 편의성,친구형,1,서울 단기형,134.475,4.0,도시 소비형
4593,2,2,4,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,162.8,3.0,도시 소비형
4594,1,3,1,경험형,여행 편의성,가족형,1,서울 단기형,412.642,5.0,경험형
4595,1,5,4,가성비 및 접근성,안전 및 퀄리티,혼자형,1,서울 단기형,517.0,3.0,특수 목적
4597,2,4,1,콘텐츠 및 문화,안전 및 퀄리티,가족형,1,서울 단기형,169.125,4.0,도시 소비형
4598,1,5,4,가성비 및 접근성,안전 및 퀄리티,가족형,1,서울 단기형,336.6,4.0,도시 소비형
4599,2,3,1,콘텐츠 및 문화,여행 편의성,가족형,1,서울 단기형,1034.0,3.0,도시 소비형
