아이디,국가별,성별,연령별,문1. 주요 방한 목적,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1순위,문3-1. 고려한 관광활동_1순위,문3-2. 고려한 관광인프라_1순위,"문10. 1인 1일 지출경비(영향치 결측, 61일 이상 결측, 국제교통비 제외)",문9-3. 총 체재기간_61일 이상 결측,숙박시설_그룹,여행동반자_그룹,방문 지역 수,주요 체재 지역
3067.0,10.0,2.0,2.0,1,1.0,1.0,9.0,10.0,185.35,5.0,1. 호텔,가족형,1,서울
3069.0,6.0,1.0,2.0,1,1.0,3.0,2.0,1.0,213.5,4.0,4. 게스트하우스/호스텔,혼자형,1,서울
3071.0,6.0,1.0,3.0,1,2.0,6.0,4.0,8.0,171.56,4.0,7. 친척 또는 친구 집,친구형,1,서울
3072.0,10.0,2.0,4.0,1,1.0,1.0,5.0,3.0,331.89,6.0,4. 게스트하우스/호스텔,친구형,2,서울
3074.0,1.0,1.0,3.0,1,2.0,9.0,10.0,6.0,744.5,4.0,1. 호텔,친구형,1,서울
3075.0,15.0,2.0,2.0,1,1.0,1.0,4.0,5.0,204.39,5.0,1. 호텔,가족형,3,서울
3076.0,6.0,2.0,2.0,1,1.0,9.0,3.0,5.0,152.5,3.0,4. 게스트하우스/호스텔,가족형,2,서울
3081.0,8.0,1.0,2.0,1,1.0,1.0,3.0,5.0,368.5,5.0,1. 호텔,직장형,1,서울
3097.0,4.0,2.0,3.0,1,1.0,8.0,2.0,5.0,135.71,7.0,1. 호텔,가족형,1,서울
3098.0,9.0,2.0,2.0,1,4.0,2.0,3.0,3.0,195.04,5.0,1. 호텔,가족형,1,서울
3103.0,8.0,2.0,2.0,1,1.0,1.0,1.0,3.0,714.92,6.0,1. 호텔,단체형,2,서울
3107.0,4.0,2.0,2.0,1,1.0,1.0,1.0,3.0,162.5,4.0,1. 호텔,가족형,1,서울
3108.0,8.0,2.0,3.0,1,3.0,2.0,3.0,3.0,341.83,6.0,1. 호텔,가족형,2,서울
3113.0,4.0,1.0,6.0,1,3.0,2.0,7.0,10.0,93.0,5.0,1. 호텔,가족형,1,서울
3114.0,4.0,1.0,2.0,1,1.0,1.0,12.0,6.0,138.1,21.0,1. 호텔,가족형,2,충남
3118.0,10.0,2.0,4.0,1,2.0,2.0,7.0,2.0,253.84,7.0,1. 호텔,친구형,1,서울
3121.0,4.0,1.0,3.0,1,1.0,1.0,4.0,9.0,217.5,4.0,1. 호텔,친구형,1,서울
3122.0,4.0,2.0,2.0,1,1.0,1.0,5.0,6.0,55.0,15.0,1. 호텔,가족형,2,서울
3123.0,4.0,2.0,5.0,1,1.0,1.0,1.0,2.0,181.82,11.0,1. 호텔,가족형,2,서울
3126.0,10.0,1.0,2.0,1,4.0,2.0,10.0,4.0,86.16,10.0,1. 호텔,가족형,3,서울
3127.0,14.0,2.0,2.0,1,3.0,2.0,11.0,9.0,120.32,2.0,1. 호텔,가족형,1,서울
3130.0,13.0,2.0,3.0,1,1.0,1.0,1.0,6.0,226.18,7.0,1. 호텔,단체형,3,서울
3133.0,13.0,1.0,3.0,1,1.0,1.0,1.0,6.0,121.27,5.0,1. 호텔,가족형,2,서울
3136.0,5.0,1.0,3.0,1,4.0,7.0,10.0,9.0,224.04,7.0,1. 호텔,가족형,1,서울
3137.0,5.0,2.0,3.0,1,4.0,7.0,2.0,1.0,446.25,6.0,1. 호텔,혼자형,1,서울
3138.0,5.0,1.0,2.0,1,4.0,2.0,2.0,6.0,133.56,8.0,1. 호텔+3. 콘도미니엄/리조트,혼자형,2,강원
3141.0,8.0,2.0,2.0,1,2.0,2.0,7.0,6.0,114.86,5.0,4. 게스트하우스/호스텔,가족형,1,서울
3142.0,8.0,2.0,2.0,1,1.0,5.0,5.0,6.0,84.74,15.0,4. 게스트하우스/호스텔+5. 민박/펜션,가족형,3,서울
3143.0,8.0,2.0,2.0,1,1.0,1.0,3.0,5.0,109.58,8.0,1. 호텔,가족형,2,서울
3147.0,16.0,2.0,2.0,1,2.0,2.0,6.0,4.0,237.81,15.0,1. 호텔,가족형,2,서울
3153.0,2.0,2.0,2.0,1,4.0,2.0,2.0,3.0,244.73,4.0,1. 호텔,혼자형,1,서울
3154.0,2.0,2.0,2.0,1,3.0,7.0,10.0,3.0,200.2,3.0,1. 호텔,친구형,1,서울
3155.0,3.0,2.0,3.0,1,2.0,4.0,2.0,4.0,515.61,5.0,1. 호텔,혼자형,1,서울
3164.0,2.0,2.0,5.0,1,4.0,7.0,7.0,5.0,174.2,3.0,1. 호텔,혼자형,1,서울
3167.0,3.0,2.0,2.0,1,1.0,7.0,7.0,1.0,702.38,5.0,1. 호텔,가족형,1,부산
3168.0,3.0,1.0,3.0,1,2.0,4.0,10.0,2.0,144.29,5.0,1. 호텔,가족형,1,부산
3169.0,3.0,2.0,3.0,1,3.0,9.0,12.0,2.0,477.79,5.0,1. 호텔,가족형,1,부산
3173.0,2.0,1.0,5.0,1,4.0,4.0,2.0,5.0,185.25,4.0,1. 호텔,가족형,1,부산
3174.0,3.0,2.0,4.0,1,3.0,2.0,6.0,6.0,117.95,5.0,1. 호텔,가족형,1,제주
3175.0,2.0,2.0,5.0,1,4.0,8.0,5.0,6.0,138.28,4.0,1. 호텔,혼자형,1,부산
3176.0,3.0,2.0,6.0,1,4.0,4.0,1.0,4.0,252.75,4.0,1. 호텔,단체형,1,제주
3177.0,7.0,2.0,2.0,1,2.0,4.0,6.0,10.0,123.33,3.0,1. 호텔,친구형,1,부산
3178.0,3.0,1.0,4.0,1,3.0,10.0,11.0,4.0,117.95,5.0,1. 호텔,가족형,1,제주
3182.0,3.0,2.0,3.0,1,4.0,5.0,3.0,3.0,134.8,5.0,1. 호텔,친구형,1,제주
3184.0,3.0,1.0,3.0,1,2.0,5.0,3.0,10.0,134.8,5.0,1. 호텔,친구형,1,제주
3187.0,3.0,2.0,2.0,1,1.0,5.0,1.0,10.0,168.5,5.0,1. 호텔,친구형,1,제주
3188.0,3.0,2.0,3.0,1,2.0,9.0,2.0,10.0,134.8,5.0,1. 호텔,가족형,1,제주
3193.0,2.0,2.0,2.0,1,3.0,5.0,3.0,3.0,390.0,4.0,1. 호텔,혼자형,1,제주
3194.0,2.0,2.0,5.0,1,2.0,5.0,2.0,6.0,195.0,4.0,1. 호텔,가족형,1,제주
3195.0,2.0,2.0,5.0,1,3.0,7.0,12.0,7.0,289.9,3.0,1. 호텔,친구형,1,부산
3196.0,2.0,2.0,2.0,1,4.0,7.0,2.0,6.0,169.0,6.0,1. 호텔,가족형,2,제주
3197.0,2.0,2.0,2.0,1,1.0,8.0,1.0,4.0,84.5,2.0,1. 호텔,가족형,1,부산
3198.0,2.0,2.0,3.0,1,2.0,6.0,3.0,9.0,234.0,5.0,1. 호텔,친구형,1,제주
3199.0,2.0,1.0,2.0,1,1.0,10.0,12.0,3.0,90.13,3.0,1. 호텔,친구형,1,부산
3200.0,2.0,2.0,6.0,1,3.0,4.0,11.0,8.0,124.8,3.0,1. 호텔,가족형,1,부산
3201.0,8.0,2.0,2.0,1,1.0,1.0,3.0,8.0,164.08,5.0,5. 민박/펜션,단체형,2,서울
3202.0,2.0,2.0,2.0,1,4.0,4.0,2.0,6.0,501.43,7.0,7. 친척 또는 친구 집,혼자형,1,부산
3203.0,10.0,1.0,3.0,1,1.0,1.0,3.0,5.0,170.63,7.0,1. 호텔,혼자형,1,제주
3205.0,8.0,2.0,3.0,1,1.0,1.0,3.0,9.0,98.97,9.0,1. 호텔,가족형,3,서울
3211.0,13.0,2.0,2.0,1,1.0,7.0,11.0,3.0,71.19,8.0,1. 호텔,친구형,1,제주
3214.0,10.0,2.0,2.0,1,2.0,4.0,5.0,10.0,71.8,8.0,1. 호텔,혼자형,1,제주
3215.0,10.0,1.0,3.0,1,2.0,2.0,4.0,5.0,123.09,8.0,1. 호텔,단체형,1,제주
3216.0,10.0,2.0,3.0,1,1.0,1.0,3.0,3.0,84.25,10.0,1. 호텔,가족형,1,제주
3217.0,10.0,2.0,2.0,1,4.0,11.0,3.0,5.0,42.55,9.0,1. 호텔,가족형,2,부산
3218.0,10.0,1.0,2.0,1,3.0,2.0,1.0,10.0,62.23,16.0,4. 게스트하우스/호스텔,혼자형,2,서울
3219.0,10.0,2.0,5.0,1,3.0,5.0,1.0,5.0,191.48,4.0,1. 호텔,가족형,1,제주
3220.0,10.0,2.0,4.0,1,2.0,2.0,12.0,9.0,220.2,8.0,1. 호텔,친구형,1,제주
3221.0,10.0,1.0,5.0,1,3.0,2.0,3.0,5.0,191.48,6.0,1. 호텔,가족형,1,제주
3222.0,1.0,1.0,3.0,1,4.0,10.0,2.0,1.0,416.92,5.0,1. 호텔,가족형,1,서울
3223.0,5.0,2.0,2.0,1,4.0,2.0,9.0,6.0,347.89,7.0,1. 호텔,친구형,1,서울
3224.0,1.0,2.0,3.0,1,4.0,8.0,12.0,6.0,208.46,7.0,1. 호텔,친구형,1,서울
3225.0,18.0,2.0,2.0,1,1.0,1.0,2.0,6.0,76.98,6.0,1. 호텔,친구형,1,서울
3226.0,3.0,2.0,4.0,1,1.0,7.0,2.0,3.0,1243.53,5.0,1. 호텔,직장형,2,서울
3228.0,7.0,1.0,2.0,1,1.0,6.0,11.0,4.0,254.17,6.0,1. 호텔,직장형,1,서울
3230.0,4.0,1.0,2.0,1,1.0,1.0,11.0,3.0,98.21,14.0,1. 호텔,가족형,1,서울
3231.0,7.0,2.0,3.0,1,1.0,8.0,5.0,7.0,1166.67,6.0,1. 호텔,가족형,2,서울
3233.0,7.0,1.0,2.0,1,1.0,1.0,4.0,1.0,1450.0,4.0,1. 호텔,단체형,1,서울
3235.0,7.0,1.0,4.0,1,1.0,1.0,5.0,3.0,200.0,5.0,1. 호텔,가족형,2,서울
3240.0,8.0,1.0,4.0,1,1.0,1.0,4.0,6.0,33.24,7.0,4. 게스트하우스/호스텔,가족형,2,서울
3241.0,8.0,2.0,5.0,1,2.0,2.0,11.0,2.0,65.56,8.0,4. 게스트하우스/호스텔,가족형,2,서울
3243.0,8.0,1.0,3.0,1,3.0,2.0,1.0,6.0,130.0,5.0,1. 호텔,복합형(가족+친구),1,서울
3245.0,5.0,2.0,1.0,1,1.0,7.0,7.0,2.0,1056.07,5.0,5. 민박/펜션,기타형,1,서울
3246.0,16.0,1.0,5.0,1,1.0,1.0,6.0,3.0,263.64,7.0,1. 호텔,가족형,2,서울
3247.0,13.0,2.0,5.0,1,4.0,2.0,2.0,6.0,109.5,5.0,1. 호텔,가족형,2,서울
3251.0,3.0,2.0,3.0,1,4.0,3.0,7.0,2.0,286.45,5.0,1. 호텔,단체형,1,부산
3254.0,8.0,1.0,5.0,1,1.0,8.0,1.0,6.0,289.48,5.0,1. 호텔+3. 콘도미니엄/리조트,가족형,2,서울
3256.0,12.0,2.0,3.0,1,4.0,8.0,10.0,6.0,237.28,5.0,1. 호텔,가족형,1,서울
3257.0,12.0,2.0,2.0,1,1.0,1.0,5.0,3.0,131.25,8.0,4. 게스트하우스/호스텔,혼자형,2,서울
3259.0,7.0,1.0,4.0,1,3.0,10.0,8.0,10.0,69.88,8.0,2. 모텔/여관+7. 친척 또는 친구 집,혼자형,2,대구
3260.0,8.0,2.0,4.0,1,1.0,1.0,11.0,9.0,26.04,6.0,4. 게스트하우스/호스텔,가족형,2,서울
3280.0,16.0,2.0,2.0,1,2.0,2.0,11.0,3.0,38.71,14.0,1. 호텔,가족형,1,서울
3284.0,1.0,2.0,3.0,1,4.0,7.0,10.0,2.0,122.1,25.0,7. 친척 또는 친구 집,혼자형,1,서울
3290.0,2.0,2.0,2.0,1,4.0,9.0,11.0,1.0,645.45,4.0,1. 호텔,친구형,1,부산
3295.0,18.0,2.0,2.0,1,1.0,1.0,12.0,2.0,78.35,12.0,1. 호텔,가족형,1,서울
3297.0,10.0,1.0,1.0,1,4.0,2.0,1.0,5.0,292.57,5.0,1. 호텔,가족형,1,서울
3299.0,7.0,2.0,2.0,1,1.0,1.0,1.0,8.0,26.72,35.0,1. 호텔,가족형,1,서울
3301.0,17.0,2.0,4.0,1,2.0,4.0,3.0,3.0,134.56,7.0,1. 호텔,가족형,1,제주
3307.0,13.0,2.0,2.0,1,1.0,1.0,12.0,3.0,22.45,5.0,1. 호텔,가족형,1,서울
3308.0,10.0,2.0,2.0,1,2.0,7.0,1.0,10.0,105.52,9.0,1. 호텔,가족형,2,서울
3316.0,2.0,2.0,5.0,1,4.0,7.0,1.0,2.0,249.6,3.0,1. 호텔,친구형,1,서울
3317.0,19.0,1.0,2.0,1,1.0,1.0,12.0,5.0,129.61,7.0,1. 호텔,가족형,2,서울
3318.0,18.0,1.0,3.0,1,4.0,2.0,12.0,3.0,420.09,5.0,1. 호텔,친구형,1,서울
3325.0,10.0,2.0,5.0,1,2.0,7.0,7.0,8.0,251.65,7.0,1. 호텔,가족형,2,서울
3326.0,10.0,1.0,2.0,1,4.0,2.0,1.0,10.0,130.97,15.0,1. 호텔,가족형,3,서울
3327.0,10.0,1.0,4.0,1,2.0,2.0,3.0,5.0,79.33,7.0,1. 호텔,가족형,2,서울
3331.0,10.0,2.0,3.0,1,2.0,2.0,4.0,4.0,279.55,8.0,1. 호텔+8. 기타,가족형,2,서울
3333.0,2.0,2.0,5.0,1,4.0,8.0,2.0,5.0,134.94,4.0,1. 호텔,친구형,2,서울
3337.0,2.0,2.0,3.0,1,4.0,6.0,2.0,5.0,304.2,4.0,1. 호텔,친구형,1,서울
3338.0,10.0,2.0,5.0,1,2.0,2.0,2.0,6.0,124.46,3.0,8. 기타,가족형,1,서울
3340.0,4.0,2.0,4.0,1,2.0,2.0,5.0,3.0,225.0,6.0,1. 호텔,친구형,1,서울
3342.0,11.0,1.0,2.0,1,1.0,1.0,6.0,10.0,49.48,29.0,8. 기타,친구형,1,서울
3345.0,13.0,2.0,2.0,1,1.0,1.0,3.0,6.0,181.9,8.0,4. 게스트하우스/호스텔,친구형,2,서울
3350.0,13.0,2.0,5.0,1,2.0,2.0,3.0,9.0,285.71,7.0,1. 호텔,가족형,2,서울
3351.0,11.0,1.0,2.0,1,1.0,3.0,7.0,3.0,105.56,9.0,1. 호텔,혼자형,1,서울
3354.0,10.0,2.0,2.0,1,3.0,2.0,3.0,2.0,112.33,5.0,1. 호텔,가족형,2,서울
3356.0,13.0,2.0,5.0,1,4.0,3.0,2.0,5.0,438.0,5.0,1. 호텔,직장형,3,서울
3357.0,4.0,2.0,2.0,1,1.0,1.0,11.0,9.0,242.86,7.0,1. 호텔,혼자형,1,서울
3358.0,13.0,2.0,2.0,1,1.0,1.0,3.0,9.0,260.0,5.0,1. 호텔,직장형,3,서울
3359.0,13.0,2.0,2.0,1,1.0,5.0,7.0,6.0,430.0,5.0,1. 호텔,직장형,3,서울
3360.0,10.0,2.0,2.0,1,3.0,2.0,2.0,3.0,210.62,4.0,1. 호텔,가족형,1,서울
3361.0,10.0,2.0,2.0,1,4.0,2.0,2.0,6.0,173.86,5.0,1. 호텔,친구형,1,서울
3362.0,13.0,1.0,4.0,1,1.0,1.0,1.0,2.0,600.0,5.0,1. 호텔,직장형,2,서울
3363.0,13.0,2.0,2.0,1,1.0,9.0,2.0,9.0,260.0,5.0,1. 호텔,직장형,3,서울
3364.0,2.0,1.0,6.0,1,4.0,5.0,4.0,5.0,188.5,3.0,1. 호텔,복합형(가족+친구),1,부산
3365.0,13.0,2.0,3.0,1,1.0,1.0,1.0,9.0,520.0,5.0,1. 호텔,직장형,3,서울
3366.0,13.0,1.0,4.0,1,1.0,1.0,3.0,6.0,272.0,5.0,1. 호텔,직장형,3,서울
3367.0,13.0,1.0,2.0,1,1.0,1.0,2.0,5.0,700.0,5.0,1. 호텔,직장형,2,서울
3371.0,10.0,2.0,2.0,1,2.0,2.0,11.0,4.0,227.86,16.0,8. 기타,친구형,2,서울
3372.0,10.0,2.0,3.0,1,4.0,2.0,4.0,10.0,312.74,12.0,1. 호텔,친구형,2,서울
3374.0,2.0,2.0,2.0,1,2.0,7.0,13.0,2.0,250.38,5.0,4. 게스트하우스/호스텔,혼자형,1,서울
3376.0,4.0,2.0,6.0,1,1.0,1.0,4.0,3.0,120.63,4.0,1. 호텔,가족형,1,서울
3378.0,5.0,2.0,4.0,1,4.0,2.0,2.0,1.0,118.39,7.0,1. 호텔,혼자형,2,서울
3380.0,2.0,2.0,2.0,1,4.0,7.0,7.0,4.0,259.35,4.0,1. 호텔,친구형,1,서울
3381.0,10.0,2.0,2.0,1,2.0,2.0,1.0,2.0,224.98,8.0,1. 호텔,친구형,1,서울
3382.0,5.0,2.0,4.0,1,4.0,5.0,1.0,4.0,215.16,8.0,1. 호텔,친구형,1,서울
3385.0,4.0,2.0,4.0,1,1.0,1.0,3.0,2.0,158.57,7.0,1. 호텔,친구형,1,서울
3386.0,5.0,1.0,5.0,1,4.0,8.0,3.0,3.0,128.78,5.0,1. 호텔,가족형,1,서울
3387.0,5.0,2.0,3.0,1,4.0,2.0,11.0,3.0,126.67,6.0,1. 호텔,가족형,1,서울
3394.0,4.0,1.0,2.0,1,1.0,1.0,3.0,5.0,100.0,2.0,1. 호텔,단체형,1,서울
3395.0,5.0,2.0,4.0,1,4.0,2.0,12.0,8.0,527.0,3.0,8. 기타,혼자형,1,서울
3396.0,10.0,1.0,3.0,1,3.0,2.0,10.0,6.0,159.64,14.0,1. 호텔,친구형,3,서울
3399.0,8.0,2.0,3.0,1,1.0,1.0,3.0,4.0,188.89,9.0,1. 호텔,친구형,2,서울
3405.0,5.0,1.0,3.0,1,3.0,2.0,2.0,6.0,195.08,5.0,1. 호텔,친구형,1,서울
3406.0,7.0,1.0,3.0,1,1.0,8.0,1.0,4.0,210.43,4.0,1. 호텔,친구형,1,서울
3407.0,5.0,2.0,2.0,1,3.0,2.0,10.0,8.0,116.88,6.0,1. 호텔,친구형,1,서울
3408.0,8.0,2.0,4.0,1,4.0,2.0,1.0,10.0,167.43,7.0,1. 호텔,직장형,2,서울
3409.0,4.0,2.0,2.0,1,1.0,3.0,6.0,3.0,132.5,2.0,1. 호텔,친구형,1,서울
3410.0,97.0,2.0,2.0,1,1.0,7.0,7.0,3.0,185.38,13.0,1. 호텔+4. 게스트하우스/호스텔,혼자형,3,서울
3411.0,5.0,1.0,3.0,1,2.0,8.0,1.0,3.0,116.17,9.0,1. 호텔+3. 콘도미니엄/리조트,가족형,2,서울
3412.0,2.0,2.0,4.0,1,4.0,2.0,2.0,2.0,317.72,3.0,1. 호텔,친구형,1,부산
3413.0,5.0,2.0,2.0,1,3.0,2.0,2.0,9.0,331.29,6.0,1. 호텔,친구형,1,서울
3415.0,10.0,1.0,5.0,1,1.0,1.0,2.0,3.0,179.22,7.0,1. 호텔,가족형,2,서울
3416.0,7.0,1.0,3.0,1,1.0,1.0,3.0,4.0,280.57,4.0,1. 호텔,가족형,1,서울
3417.0,14.0,2.0,5.0,1,1.0,1.0,1.0,3.0,235.12,10.0,1. 호텔+4. 게스트하우스/호스텔,혼자형,3,서울
3418.0,4.0,1.0,5.0,1,1.0,3.0,4.0,5.0,416.67,6.0,1. 호텔,가족형,1,서울
3422.0,6.0,2.0,2.0,1,2.0,5.0,4.0,9.0,190.63,8.0,4. 게스트하우스/호스텔,혼자형,2,서울
3424.0,4.0,2.0,2.0,1,1.0,1.0,3.0,6.0,415.0,4.0,1. 호텔,가족형,1,서울
3425.0,4.0,1.0,2.0,1,2.0,2.0,11.0,6.0,101.67,18.0,4. 게스트하우스/호스텔+7. 친척 또는 친구 집,혼자형,2,서울
3426.0,7.0,1.0,2.0,1,1.0,6.0,4.0,4.0,400.82,4.0,1. 호텔,가족형,1,서울
3429.0,2.0,2.0,2.0,1,4.0,10.0,2.0,2.0,103.35,4.0,1. 호텔,친구형,1,서울
3431.0,4.0,2.0,2.0,1,1.0,1.0,10.0,2.0,260.71,7.0,1. 호텔,가족형,1,서울
3432.0,5.0,2.0,5.0,1,3.0,2.0,2.0,3.0,121.13,4.0,1. 호텔,가족형,1,서울
3433.0,10.0,2.0,2.0,1,1.0,1.0,4.0,10.0,143.68,5.0,1. 호텔,가족형,1,서울
3434.0,2.0,2.0,2.0,1,1.0,8.0,2.0,4.0,246.68,4.0,1. 호텔,친구형,1,서울
3440.0,2.0,1.0,4.0,1,4.0,2.0,13.0,3.0,257.4,4.0,1. 호텔,혼자형,1,부산
3441.0,5.0,2.0,3.0,1,2.0,2.0,12.0,3.0,224.91,5.0,4. 게스트하우스/호스텔,친구형,1,서울
3445.0,7.0,2.0,3.0,1,1.0,4.0,4.0,11.0,192.39,5.0,1. 호텔,가족형,1,서울
3446.0,2.0,1.0,2.0,1,1.0,1.0,1.0,3.0,133.12,3.0,1. 호텔,친구형,1,서울
3447.0,5.0,1.0,4.0,1,3.0,4.0,9.0,6.0,336.28,6.0,5. 민박/펜션,단체형,1,서울
3448.0,10.0,1.0,4.0,1,4.0,2.0,6.0,2.0,243.17,6.0,1. 호텔,가족형,1,서울
3450.0,2.0,2.0,2.0,1,4.0,10.0,2.0,2.0,305.18,4.0,1. 호텔,혼자형,1,서울
3453.0,7.0,2.0,2.0,1,2.0,2.0,4.0,4.0,124.25,5.0,2. 모텔/여관,가족형,1,서울
3456.0,6.0,2.0,4.0,1,4.0,9.0,3.0,2.0,114.43,4.0,1. 호텔,친구형,1,부산
3458.0,97.0,2.0,2.0,1,1.0,5.0,4.0,3.0,346.41,4.0,1. 호텔,친구형,1,서울
3462.0,8.0,1.0,4.0,1,1.0,1.0,6.0,11.0,171.11,5.0,1. 호텔,가족형,2,제주
3463.0,4.0,2.0,2.0,1,1.0,4.0,3.0,6.0,98.0,15.0,8. 기타,혼자형,2,서울
3465.0,4.0,1.0,3.0,1,1.0,1.0,4.0,4.0,70.0,10.0,1. 호텔+4. 게스트하우스/호스텔,가족형,3,서울
3468.0,14.0,2.0,2.0,1,2.0,2.0,10.0,10.0,42.7,3.0,4. 게스트하우스/호스텔,혼자형,1,서울
3473.0,4.0,2.0,5.0,1,3.0,2.0,12.0,3.0,287.5,8.0,1. 호텔,친구형,2,서울
3474.0,4.0,2.0,2.0,1,2.0,2.0,1.0,11.0,166.67,9.0,1. 호텔,친구형,2,서울
3477.0,14.0,1.0,2.0,1,1.0,8.0,4.0,10.0,91.69,6.0,7. 친척 또는 친구 집,가족형,2,경기
3482.0,4.0,1.0,4.0,1,1.0,1.0,11.0,5.0,1266.67,6.0,1. 호텔,혼자형,1,서울
3483.0,10.0,2.0,2.0,1,1.0,1.0,2.0,3.0,33.74,7.0,1. 호텔,가족형,2,서울
3485.0,15.0,2.0,2.0,1,4.0,2.0,7.0,3.0,230.75,22.0,1. 호텔,친구형,2,서울
3487.0,10.0,2.0,2.0,1,1.0,1.0,15.0,2.0,151.03,8.0,1. 호텔,가족형,3,서울
3488.0,6.0,2.0,3.0,1,3.0,8.0,5.0,3.0,533.75,4.0,1. 호텔,친구형,1,부산
3493.0,6.0,2.0,5.0,1,4.0,5.0,2.0,3.0,686.25,4.0,1. 호텔,친구형,1,서울
3494.0,14.0,1.0,2.0,1,3.0,9.0,3.0,4.0,128.11,8.0,1. 호텔,가족형,1,서울
3496.0,4.0,1.0,2.0,1,1.0,1.0,6.0,6.0,91.67,9.0,1. 호텔,가족형,2,서울
3497.0,9.0,1.0,4.0,1,1.0,8.0,2.0,9.0,220.0,5.0,1. 호텔,가족형,1,서울
3499.0,10.0,2.0,2.0,1,1.0,1.0,3.0,9.0,291.04,7.0,1. 호텔,혼자형,2,서울
3502.0,9.0,2.0,4.0,1,1.0,9.0,5.0,10.0,283.36,5.0,1. 호텔,가족형,1,서울
3507.0,4.0,2.0,3.0,1,1.0,1.0,6.0,2.0,225.0,7.0,1. 호텔,가족형,1,서울
3512.0,13.0,1.0,2.0,1,1.0,7.0,10.0,6.0,201.42,8.0,8. 기타,친구형,2,서울
3513.0,7.0,1.0,2.0,1,4.0,8.0,4.0,10.0,138.95,5.0,1. 호텔,가족형,1,서울
3514.0,13.0,1.0,2.0,1,3.0,8.0,10.0,6.0,399.04,9.0,8. 기타,친구형,2,서울
3515.0,14.0,2.0,2.0,1,1.0,1.0,5.0,6.0,86.66,6.0,1. 호텔,복합형(가족+친구),1,서울
3517.0,3.0,2.0,2.0,1,4.0,5.0,2.0,2.0,182.65,2.0,1. 호텔,혼자형,1,서울
3519.0,97.0,1.0,2.0,1,1.0,1.0,11.0,3.0,69.04,7.0,4. 게스트하우스/호스텔,친구형,1,서울
3520.0,3.0,2.0,3.0,1,3.0,5.0,1.0,5.0,239.94,5.0,1. 호텔,친구형,1,서울
3523.0,7.0,2.0,3.0,1,2.0,4.0,3.0,4.0,144.29,5.0,1. 호텔,친구형,2,서울
3524.0,13.0,2.0,2.0,1,1.0,4.0,12.0,2.0,124.89,5.0,2. 모텔/여관,친구형,2,경남
3525.0,13.0,2.0,3.0,1,4.0,5.0,2.0,9.0,46.09,10.0,1. 호텔+4. 게스트하우스/호스텔,가족형,3,서울
3526.0,3.0,2.0,1.0,1,1.0,1.0,1.0,5.0,259.49,5.0,1. 호텔,가족형,2,경기
3527.0,14.0,2.0,5.0,1,1.0,1.0,4.0,3.0,153.55,4.0,1. 호텔,가족형,1,서울
3528.0,11.0,2.0,3.0,1,1.0,1.0,1.0,2.0,269.44,9.0,1. 호텔+3. 콘도미니엄/리조트,가족형,2,서울
3530.0,13.0,2.0,3.0,1,1.0,1.0,11.0,9.0,174.76,6.0,1. 호텔,가족형,2,서울
3532.0,3.0,1.0,3.0,1,1.0,8.0,15.0,6.0,225.12,5.0,1. 호텔,직장형,2,서울
3535.0,5.0,2.0,5.0,1,1.0,1.0,1.0,6.0,308.55,5.0,1. 호텔,친구형,1,서울
3539.0,4.0,2.0,4.0,1,1.0,1.0,12.0,3.0,360.0,5.0,1. 호텔,가족형,1,서울
3540.0,3.0,2.0,2.0,1,3.0,10.0,15.0,2.0,249.38,5.0,1. 호텔,혼자형,3,경기
3541.0,5.0,2.0,5.0,1,3.0,2.0,3.0,3.0,111.69,5.0,1. 호텔,친구형,1,서울
3543.0,5.0,2.0,5.0,1,4.0,8.0,3.0,5.0,535.5,5.0,1. 호텔,친구형,1,서울
3545.0,5.0,2.0,4.0,1,4.0,8.0,2.0,6.0,1382.1,5.0,1. 호텔,혼자형,1,서울
3547.0,3.0,2.0,3.0,1,2.0,8.0,11.0,4.0,373.73,5.0,1. 호텔,가족형,2,서울
3548.0,9.0,2.0,3.0,1,1.0,1.0,2.0,4.0,190.62,5.0,1. 호텔,직장형,2,서울
3549.0,5.0,2.0,3.0,1,4.0,2.0,2.0,7.0,186.15,5.0,1. 호텔,친구형,1,서울
3550.0,3.0,2.0,3.0,1,2.0,4.0,4.0,3.0,235.9,5.0,1. 호텔,가족형,4,경기
3552.0,13.0,2.0,3.0,1,4.0,2.0,11.0,3.0,46.9,6.0,1. 호텔,가족형,1,서울
3556.0,3.0,2.0,4.0,1,4.0,10.0,5.0,5.0,499.88,6.0,1. 호텔,가족형,1,서울
3557.0,15.0,1.0,2.0,1,1.0,1.0,6.0,2.0,63.38,15.0,1. 호텔+3. 콘도미니엄/리조트,가족형,2,서울
3562.0,9.0,2.0,4.0,1,1.0,7.0,12.0,6.0,552.0,5.0,1. 호텔,가족형,2,서울
3566.0,3.0,2.0,3.0,1,2.0,5.0,1.0,6.0,280.55,4.0,1. 호텔,가족형,1,서울
3569.0,7.0,1.0,3.0,1,3.0,5.0,3.0,3.0,233.81,4.0,1. 호텔,가족형,2,강원
3570.0,3.0,2.0,4.0,1,4.0,5.0,15.0,6.0,282.24,8.0,1. 호텔,직장형,2,서울
3571.0,3.0,2.0,2.0,1,1.0,1.0,3.0,6.0,208.27,5.0,2. 모텔/여관,단체형,1,서울
