아이디,연령별,한국 방문횟수(카테고리),문3-2. 고려한 관광인프라_1,여행동반자_그룹,방문 지역 수,여행 패턴,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,문3-1. 고려한 관광활동_1순위,문1-1. 한국여행 관심 계기_1순위,국가별,성별,월별,문10-2. 쇼핑 항목_1,문10-2. 쇼핑 항목_2,문10-2. 쇼핑 항목_3,문10-2. 쇼핑 항목_4,문10-2. 쇼핑 항목_5,문10-2. 쇼핑 항목_6,문10-2. 쇼핑 항목_7,문10-2. 쇼핑 항목_8,문10-2. 쇼핑 항목_9,문10-2. 쇼핑 항목_10,문10-2. 쇼핑 항목_11,문10-2. 쇼핑 항목_12,문10-2. 쇼핑 항목_13,문10. 1인 지출경비(상하위 1% 대체),문9-2. 방문지역_1,문9-2. 방문지역_2,문9-2. 방문지역_3,문9-2. 방문지역_4,문9-2. 방문지역_5,문9-2. 방문지역_6,문9-2. 방문지역_7,문9-2. 방문지역_8,문9-2. 방문지역_9,문9-2. 방문지역_10,문9-2. 방문지역_11,문9-2. 방문지역_12,문9-2. 방문지역_13,문9-2. 방문지역_14,문9-2. 방문지역_15,문9-2. 방문지역_16,문9-2. 방문지역_17,문9-1. 가장 좋았던곳_1,문9-1. 가장 좋았던곳_2,문9-1. 가장 좋았던곳_3,문9-1. 가장 좋았던곳_4,문9-1. 가장 좋았던곳_5,문8-1. 만족한 활동_1,문8-1. 만족한 활동_2,문8-1. 만족한 활동_3,문8. 참여한 활동_1,문8. 참여한 활동_2,문8. 참여한 활동_3,문8. 참여한 활동_4,문8. 참여한 활동_5,문8. 참여한 활동_6,문8. 참여한 활동_7,문8. 참여한 활동_8,문8. 참여한 활동_9,문8. 참여한 활동_10,문8. 참여한 활동_11,문8. 참여한 활동_12,문8. 참여한 활동_13,문8. 참여한 활동_14,문8. 참여한 활동_15,문8. 참여한 활동_16,문8. 참여한 활동_17,문8. 참여한 활동_18,문8. 참여한 활동_19,문8. 참여한 활동_20,new_여행패턴
1661,4,첫방문,여행 편의성,가족형,1,서울 심층형,73.2116666666666,6.0,"역사, 전통, 자연",K-컬처형,15,2,1,,,,,,,,,,10.0,,,,439.27,1.0,,,,,,,,,,,,,,,,,11174,,,,,3,5.0,7.0,,,3.0,,5.0,,7.0,,,,,,,,,,,,,,서울 집중형
1662,2,재방문,안전 및 퀄리티,친구형,1,서울 단기형,334.642,5.0,경험형,K-컬처형,8,2,1,1.0,2.0,3.0,,,,,,,,11.0,,,1673.21,1.0,,,,,,,,,,,,,,,,,11002,,,,,8,,,1.0,2.0,,,,,,8.0,,10.0,,,13.0,,,,,,,,서울 집중형
1663,5,첫방문,가성비,직장형,1,서울 단기형,985.5,4.0,경험형,K-컬처형,6,2,1,1.0,,,,5.0,,,,,,,,,3942.0,1.0,,,,,,,,,,,,,,,,,11012,,,,,14,1.0,2.0,1.0,2.0,3.0,,,,,,,,,,,14.0,,,,,,,서울 집중형
1664,2,첫방문,여행 편의성,직장형,1,서울 심층형,249.695333333333,6.0,도시 소비형,경험 및 관계,7,2,1,1.0,2.0,,,,,7.0,,,,,,,1498.172,1.0,,,,,,,,,,,,,,,,,42001,,,,,2,1.0,4.0,1.0,2.0,,4.0,,,,,,,,,,,,,,,,,서울 집중형
1665,2,재방문,여행 편의성,가족형,1,서울 단기형,408.524,5.0,경험형,K-컬처형,8,2,1,1.0,,,,,,,,,,11.0,,,2042.62,1.0,,,,,,,,,,,,,,,,,11002,,,,,8,2.0,1.0,1.0,2.0,,,,,,8.0,,,,,,,,,,,,,서울 집중형
1666,3,첫방문,여행 편의성,혼자형,1,서울 심층형,347.857142857143,7.0,경험형,경험 및 관계,4,1,1,1.0,,3.0,,,6.0,,,,,,,,2435.0,1.0,,,,,,,,,,,,,,,,,11513,,,,,11,2.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,11.0,12.0,,,,,,,,,서울 집중형
1668,3,첫방문,안전 및 퀄리티,직장형,1,서울 심층형,212.241033333333,6.0,도시 소비형,경험 및 관계,7,1,1,1.0,2.0,,,,,7.0,,,,,,,1273.4462,1.0,,,,,,,,,,,,,,,,,11004,,,,,2,3.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,서울 집중형
1671,5,첫방문,안전 및 퀄리티,직장형,1,서울 심층형,237.210566666667,6.0,도시 소비형,가성비 및 접근성,7,2,1,,2.0,3.0,,,,7.0,,,,,,,1423.2634,1.0,,,,,,,,,,,,,,,,,42001,,,,,2,3.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,서울 집중형
1675,3,재방문,안전 및 퀄리티,친구형,1,서울 단기형,588.866666666667,3.0,"역사, 전통, 자연",가성비 및 접근성,6,2,1,,2.0,,,,,7.0,,,,,,,1766.6,1.0,,,,,,,,,,,,,,,,,11513,,,,,2,3.0,11.0,,2.0,3.0,,,,,,,,11.0,,,,,,,,,,서울 집중형
1676,2,첫방문,안전 및 퀄리티,직장형,1,서울 심층형,224.7258,6.0,도시 소비형,가성비 및 접근성,7,2,1,,2.0,3.0,,,,,,,,,,,1348.3548,1.0,,,,,,,,,,,,,,,,,11012,,,,,2,1.0,3.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,서울 집중형
1679,3,첫방문,안전 및 퀄리티,단체형,2,서울 심층형,166.463555555556,9.0,도시 소비형,가성비 및 접근성,7,2,1,1.0,2.0,,,,,7.0,,,,,,,1498.172,1.0,,,,,,,,,,,,13.0,,,,,11004,,,,,2,1.0,3.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,서울 확산형
1681,2,첫방문,가성비,가족형,1,서울 심층형,411.875,8.0,특수 목적,경험 및 관계,4,2,1,1.0,,3.0,4.0,,6.0,,,,,,,,3295.0,1.0,,,,,,,,,,,,,,,,,41001,,,,,12,11.0,7.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,11.0,12.0,,,,,,,,,서울 집중형
1682,2,첫방문,여행 편의성,단체형,1,서울 심층형,322.971428571429,7.0,경험형,경험 및 관계,10,1,1,1.0,,,4.0,,,,,,,,,,2260.8,1.0,,,,,,,,,,,,,,,,,11513,,,,,2,12.0,11.0,,2.0,,,,6.0,,8.0,,,11.0,12.0,,,,,,,,,서울 집중형
1683,4,첫방문,여행 편의성,직장형,1,서울 심층형,187.2715,6.0,도시 소비형,경험 및 관계,7,1,1,1.0,2.0,,,,,7.0,,,,,,,1123.629,1.0,,,,,,,,,,,,,,,,,11004,,,,,2,1.0,4.0,1.0,2.0,,4.0,,,,,,,,,,,,,,,,,서울 집중형
1684,5,첫방문,안전 및 퀄리티,가족형,3,서울 심층형,287.085714285714,7.0,특수 목적,경험 및 관계,10,2,1,1.0,,3.0,4.0,,,,,,10.0,,,,2009.6,1.0,2.0,,4.0,,,,,,,,,,,,,,42001,42010.0,,,,5,12.0,3.0,1.0,2.0,3.0,,5.0,,,,9.0,,,12.0,,,,,,,,,서울 확산형
1686,3,첫방문,여행 편의성,가족형,3,서울 심층형,160.962962962963,9.0,특수 목적,경험 및 관계,8,2,1,1.0,2.0,3.0,4.0,5.0,6.0,,8.0,9.0,,11.0,,,1448.66666666667,1.0,,,4.0,,,,,9.0,,,,,,,,,42005,11003.0,,,,2,6.0,5.0,1.0,2.0,3.0,,5.0,6.0,7.0,,,,,12.0,,,,,,,,,서울 확산형
1687,4,재방문,여행 편의성,혼자형,1,서울 심층형,282.6,8.0,"역사, 전통, 자연",가성비 및 접근성,10,2,1,1.0,,,,,,,,,,,,,2260.8,1.0,,,,,,,,,,,,,,,,,11045,,,,,6,7.0,2.0,1.0,2.0,,,5.0,6.0,7.0,,,,,,,,,,,,,,서울 집중형
1690,3,첫방문,가성비,친구형,1,서울 단기형,381.5625,4.0,"역사, 전통, 자연",K-컬처형,14,2,1,1.0,,3.0,,,6.0,,,,,,,,1526.25,1.0,,,,,,,,,,,,,,,,,11001,,,,,6,14.0,2.0,1.0,2.0,,,5.0,6.0,,,,,,,,14.0,,,,,,,서울 집중형
1696,3,첫방문,안전 및 퀄리티,가족형,2,서울 심층형,285.594285714286,7.0,"역사, 전통, 자연",경험 및 관계,8,1,1,1.0,2.0,,,5.0,,,,,,11.0,,,1999.16,1.0,,,4.0,,,,,,,,,,,,,,11002,,,,,16,1.0,7.0,1.0,,,4.0,5.0,,7.0,,,10.0,,,,,,16.0,,,,,서울 확산형
1697,2,첫방문,여행 편의성,가족형,2,서울 심층형,417.5,8.0,"역사, 전통, 자연",경험 및 관계,97,1,1,,,3.0,,,6.0,,,,,,,,3340.0,1.0,,,4.0,,,,,,,,,,,,,,11012,,,,,16,5.0,6.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,11.0,12.0,,,15.0,16.0,,,,,서울 확산형
1708,4,재방문,여행 편의성,가족형,1,서울 단기형,337.6128,4.0,도시 소비형,경험 및 관계,10,1,1,,2.0,3.0,4.0,,,,,,,,,,1350.4512,1.0,,,,,,,,,,,,,,,,,11001,,,,,3,2.0,5.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,서울 집중형
1709,4,재방문,여행 편의성,가족형,2,서울 심층형,192.225,6.0,경험형,가성비 및 접근성,1,1,1,1.0,,,4.0,,,,,,,,,13.0,1153.35,1.0,2.0,,,,,,,,,,,,,,,,41001,,,,,2,3.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,서울 확산형
1710,3,첫방문,여행 편의성,친구형,1,서울 단기형,435.0,5.0,경험형,경험 및 관계,97,1,1,,,3.0,4.0,,,,,,,,,,2175.0,1.0,,,,,,,,,,,,,,,,,11513,,,,,11,6.0,5.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,11.0,12.0,,,,,,,,,서울 집중형
1712,4,첫방문,가성비,가족형,1,서울 심층형,236.25,8.0,"역사, 전통, 자연",경험 및 관계,13,2,1,1.0,,,,,6.0,,,,,,,,1890.0,1.0,,,,,,,,,,,,,,,,,11012,,,,,6,5.0,3.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,12.0,,,,,,,,,서울 집중형
1717,4,첫방문,여행 편의성,가족형,1,서울 심층형,255.0,8.0,"역사, 전통, 자연",경험 및 관계,13,2,1,1.0,2.0,,,,,,,,,,,,2040.0,1.0,,,,,,,,,,,,,,,,,11012,,,,,5,4.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,서울 집중형
1719,2,첫방문,여행 편의성,혼자형,2,서울 단기형,375.0,3.0,특수 목적,가성비 및 접근성,14,2,1,1.0,,,,,,,,,,,,,1125.0,1.0,2.0,,,,,,,,,,,,,,,,41003,,,,,3,2.0,7.0,,2.0,3.0,4.0,5.0,,7.0,,,,11.0,,,,,,,,,,서울 확산형
1721,2,재방문,여행 편의성,가족형,4,서울 심층형,117.289285714286,14.0,"역사, 전통, 자연",경험 및 관계,16,2,1,1.0,,,,,,,,,10.0,,,13.0,1642.05,1.0,,,,,,,,9.0,,,,13.0,,15.0,,,45001,,,,,5,1.0,2.0,1.0,2.0,3.0,,5.0,,,,,,,,,,,,,,,,서울 확산형
1722,2,재방문,여행 편의성,혼자형,1,서울 심층형,321.428571428571,7.0,경험형,경험 및 관계,14,2,1,,2.0,3.0,,,6.0,,,,,11.0,,,2250.0,1.0,,,,,,,,,,,,,,,,,11012,11122.0,,,,5,7.0,8.0,1.0,2.0,3.0,4.0,5.0,,7.0,8.0,,,,12.0,,,,,,,,,서울 집중형
1723,3,재방문,안전 및 퀄리티,혼자형,1,서울 단기형,838.8,4.0,도시 소비형,가성비 및 접근성,1,1,1,1.0,,,,,6.0,,,,,,,,3355.2,1.0,,,,,,,,,,,,,,,,,11001,,,,,2,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,서울 집중형
1724,2,첫방문,여행 편의성,가족형,1,서울 심층형,431.25,8.0,"역사, 전통, 자연",경험 및 관계,4,2,1,1.0,,3.0,,,,,,,,,,,3450.0,1.0,,,,,,,,,,,,,,,,,11055,,,,,12,7.0,5.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,11.0,12.0,,,,,,,,,서울 집중형
1726,2,첫방문,여행 편의성,친구형,2,서울 단기형,328.41,4.0,도시 소비형,경험 및 관계,18,1,1,,2.0,3.0,4.0,,,,8.0,,,,,,1313.64,1.0,2.0,,,,,,,,,,,,,,,,41003,11002.0,,,,11,12.0,7.0,1.0,2.0,3.0,,5.0,6.0,7.0,,,,11.0,12.0,,,15.0,,,,,,서울 확산형
1729,4,재방문,여행 편의성,혼자형,1,서울 단기형,192.225,4.0,도시 소비형,경험 및 관계,1,1,1,,2.0,,,,,,,,,,,,768.9,1.0,,,,,,,,,,,,,,,,,11001,11002.0,11036.0,,,1,3.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,서울 집중형
1733,3,첫방문,여행 편의성,친구형,1,서울 심층형,455.714285714286,7.0,"역사, 전통, 자연",경험 및 관계,4,2,1,1.0,,3.0,,,,,,,,,,,3190.0,1.0,,,,,,,,,,,,,,,,,11002,,,,,7,6.0,5.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,11.0,12.0,,,,,,,,,서울 집중형
1742,5,첫방문,여행 편의성,가족형,1,서울 심층형,461.25,8.0,"역사, 전통, 자연",경험 및 관계,4,2,1,,2.0,,,,6.0,7.0,,,,,,,3690.0,1.0,,,,,,,,,,,,,,,,,11012,,,,,5,6.0,7.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,서울 집중형
1750,1,첫방문,안전 및 퀄리티,가족형,1,서울 단기형,781.25,4.0,경험형,경험 및 관계,4,1,2,,2.0,3.0,,,,,,,,11.0,,,3125.0,1.0,,,,,,,,,,,,,,,,,11005,,,,,5,3.0,2.0,1.0,2.0,3.0,,5.0,6.0,7.0,8.0,,,,,,,,,,,,,서울 집중형
1751,2,재방문,여행 편의성,혼자형,1,수도권/지방형(탐험가형),572.0,5.0,경험형,경험 및 관계,4,2,2,,,3.0,,,,,,,,,,,2860.0,,,,,5.0,,,,,,,,,,,,,30500,,,,,2,1.0,15.0,1.0,2.0,,,,,,,,,,,,,15.0,,,,,,탐험형
1756,3,첫방문,여행 편의성,가족형,2,서울 심층형,115.916666666667,6.0,"역사, 전통, 자연",K-컬처형,1,1,2,,,,,,,,,,,,,,695.5,1.0,,,,,,,,,,,,13.0,,,,,11001,,,,,6,2.0,3.0,,2.0,3.0,,,6.0,,,,,,,,,,,,,,,서울 확산형
1764,2,재방문,여행 편의성,혼자형,1,서울 심층형,146.055,6.0,"역사, 전통, 자연",K-컬처형,1,1,2,,2.0,,,,,,,9.0,,,,,876.33,1.0,,,,,,,,,,,,,,,,,11001,,,,,1,4.0,3.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,서울 집중형
1765,6,첫방문,안전 및 퀄리티,가족형,1,서울 단기형,329.4216,5.0,도시 소비형,경험 및 관계,19,1,2,,2.0,,,,6.0,,,,10.0,,,,1647.108,1.0,,,,,,,,,,,,,,,,,11910,,,,,12,5.0,1.0,1.0,2.0,3.0,,5.0,,7.0,,,,,12.0,,,,,,,,,서울 집중형
1766,4,재방문,안전 및 퀄리티,혼자형,1,서울 심층형,273.353142857143,7.0,도시 소비형,경험 및 관계,19,1,2,,,3.0,,,,,,,,,,,1913.472,1.0,,,,,,,,,,,,,,,,,11002,,,,,12,4.0,1.0,1.0,2.0,3.0,4.0,,,,,,,,12.0,,,,,,,,,서울 집중형
1767,2,재방문,여행 편의성,친구형,2,서울 단기형,159.965,4.0,도시 소비형,K-컬처형,1,2,2,,,,,,,,,,,,,,639.86,1.0,2.0,,,,,,,,,,,,,,,,99999,,,,,16,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,16.0,,,,,서울 확산형
1768,3,첫방문,여행 편의성,가족형,1,서울 단기형,340.0,5.0,특수 목적,K-컬처형,13,1,2,1.0,2.0,3.0,,,,,,,,,12.0,,1700.0,1.0,,,,,,,,,,,,,,,,,11513,,,,,10,6.0,,1.0,2.0,3.0,4.0,5.0,6.0,,,,10.0,,,,,,,,,,,서울 집중형
1769,2,재방문,여행 편의성,친구형,2,수도권/지방형(탐험가형),165.18125,8.0,경험형,경험 및 관계,1,2,2,1.0,,3.0,,,,,,,,,,,1321.45,1.0,2.0,,,,,,,,,,,,,,,,11002,,,,,2,1.0,14.0,1.0,2.0,,,,,,,,,,,,14.0,,,,,,,서울 확산형
1772,2,첫방문,여행 편의성,친구형,1,서울 심층형,284.484,6.0,경험형,K-컬처형,18,2,2,1.0,2.0,3.0,,,,,,,,,,,1706.904,1.0,,,,,,,,,,,,,,,,,11002,,,,,11,5.0,2.0,1.0,2.0,,,5.0,,,,,,11.0,,,,,,,,,,서울 집중형
1774,2,첫방문,여행 편의성,복합형(가족+친구),2,서울 심층형,160.491428571429,14.0,"역사, 전통, 자연",경험 및 관계,18,2,2,1.0,2.0,3.0,,,6.0,,8.0,,,,12.0,,2246.88,1.0,,,,,,,,,,,,13.0,,,,,11002,,,,,1,5.0,7.0,1.0,2.0,3.0,,5.0,,7.0,,,,,,,,,,,,,,서울 확산형
1776,3,첫방문,여행 편의성,가족형,1,서울 심층형,298.071428571429,7.0,도시 소비형,가성비 및 접근성,1,2,2,,2.0,3.0,4.0,,6.0,,,,,,,,2086.5,1.0,,,,,,,,,,,,,,,,,11003,,,,,2,1.0,3.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,서울 집중형
1777,2,첫방문,여행 편의성,친구형,1,서울 심층형,197.672727272727,11.0,경험형,경험 및 관계,18,2,2,,,3.0,,,,,,,,,,,2174.4,1.0,,,,,,,,,,,,,,,,,11004,,,,,8,3.0,5.0,,2.0,3.0,,5.0,,7.0,8.0,,,11.0,,,,,,,,,,서울 집중형
1778,4,재방문,안전 및 퀄리티,가족형,1,서울 심층형,1212.15714285714,7.0,경험형,K-컬처형,1,1,2,1.0,,3.0,,5.0,,,,,,,,,8485.1,1.0,,,,,,,,,,,,,,,,,11001,,,,,2,13.0,3.0,,2.0,3.0,,,,,,,,,,13.0,,,,,,,,서울 집중형
1782,3,첫방문,가성비,가족형,2,서울 심층형,217.44,6.0,"역사, 전통, 자연",경험 및 관계,19,1,2,,,,,,,,,,,,,,1304.64,1.0,,,4.0,,,,,,,,,,,,,,42002,,,,,17,5.0,8.0,1.0,,3.0,,5.0,,7.0,8.0,,,,,,,,,17.0,,,,서울 확산형
1786,3,첫방문,안전 및 퀄리티,혼자형,4,서울 심층형,120.8,27.0,경험형,경험 및 관계,97,2,2,1.0,,,,,,,,,,,,13.0,3261.6,1.0,,,,,,,,,,11.0,,13.0,,15.0,,,45502,,,,,5,3.0,2.0,1.0,2.0,3.0,,5.0,6.0,7.0,,,,,,,,,,,,,,서울 확산형
1787,3,첫방문,가성비,가족형,1,서울 단기형,851.64,3.0,"역사, 전통, 자연",경험 및 관계,97,1,2,,2.0,,,,,,,,10.0,,,,2554.92,1.0,,,,,,,,,,,,,,,,,11012,,,,,5,1.0,2.0,1.0,2.0,,,5.0,,,,,,,,,,,,,,,,서울 집중형
1788,3,첫방문,안전 및 퀄리티,가족형,1,서울 단기형,361.66,5.0,특수 목적,가성비 및 접근성,1,1,2,1.0,2.0,3.0,,,,,,9.0,,,,,1808.3,1.0,,,,,,,,,,,,,,,,,11001,,,,,4,2.0,1.0,1.0,2.0,,4.0,,,,,,,,12.0,,,,,,,,,서울 집중형
1790,2,재방문,안전 및 퀄리티,혼자형,3,서울 심층형,278.2,6.0,도시 소비형,가성비 및 접근성,1,2,2,,,,,,,,,,,,,13.0,1669.2,1.0,2.0,3.0,,,,,,,,,,,,,,,11003,,,,,14,13.0,2.0,1.0,2.0,3.0,,,,,,,,,,13.0,14.0,,,,,,,서울 확산형
1791,2,첫방문,안전 및 퀄리티,직장형,1,서울 단기형,306.02,5.0,도시 소비형,경험 및 관계,1,2,2,1.0,,,,,,,,,,,,,1530.1,1.0,,,,,,,,,,,,,,,,,11055,,,,,1,12.0,11.0,1.0,2.0,,4.0,5.0,,,,,,11.0,12.0,,,,,,,19.0,,서울 집중형
1794,3,첫방문,여행 편의성,직장형,1,서울 단기형,548.2246,5.0,"역사, 전통, 자연",경험 및 관계,14,1,2,,2.0,,,,,,,,10.0,,,,2741.123,1.0,,,,,,,,,,,,,,,,,11003,,,,,1,3.0,2.0,1.0,2.0,3.0,,5.0,,,,,,,,,,,,,18.0,,,서울 집중형
1795,3,첫방문,여행 편의성,혼자형,2,서울 단기형,186.394,5.0,도시 소비형,가성비 및 접근성,1,2,2,1.0,,3.0,,,,,,,,,,,931.97,1.0,,3.0,,,,,,,,,,,,,,,11002,,,,,1,,,1.0,2.0,,,5.0,,,,,,,,,,,,,,,,서울 확산형
1799,3,재방문,가성비,가족형,1,서울 단기형,182.221,5.0,도시 소비형,가성비 및 접근성,1,1,2,1.0,,3.0,,5.0,,,,,,,,,911.105,1.0,,,,,,,,,,,,,,,,,11001,11538.0,,,,2,1.0,4.0,1.0,2.0,,4.0,,,,,,,,,,,,,,,,,서울 집중형
1800,3,재방문,안전 및 퀄리티,단체형,1,서울 단기형,414.8,3.0,특수 목적,가성비 및 접근성,2,2,2,1.0,2.0,3.0,,,,,,,,,,,1244.4,1.0,,,,,,,,,,,,,,,,,11001,,,,,1,2.0,13.0,1.0,2.0,,,,,,,,,,,13.0,,,,,,,,서울 집중형
1804,2,재방문,가성비,친구형,1,서울 단기형,276.533333333333,3.0,도시 소비형,가성비 및 접근성,2,2,2,1.0,2.0,3.0,,,,,,,,,,,829.6,1.0,,,,,,,,,,,,,,,,,11002,,,,,1,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,서울 집중형
1805,4,첫방문,안전 및 퀄리티,친구형,1,서울 단기형,512.266666666667,3.0,도시 소비형,K-컬처형,2,1,2,1.0,2.0,,,,,,8.0,,,,,,1536.8,1.0,,,,,,,,,,,,,,,,,11001,,,,,1,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,서울 집중형
1807,2,재방문,여행 편의성,친구형,1,서울 단기형,231.833333333333,3.0,경험형,K-컬처형,1,2,2,,2.0,,,,,,,,,,,,695.5,1.0,,,,,,,,,,,,,,,,,11011,,,,,8,5.0,2.0,1.0,2.0,,,5.0,,,8.0,,,,,,,,,,,,,서울 집중형
1809,2,첫방문,여행 편의성,혼자형,1,서울 심층형,176.666666666667,30.0,경험형,K-컬처형,11,2,2,1.0,,,,,,,,,,,12.0,,5300.0,1.0,,,,,,,,,,,,,,,,,11001,,,,,5,2.0,3.0,,2.0,3.0,,5.0,,7.0,,,,11.0,,13.0,14.0,,,,,,,서울 집중형
1810,2,첫방문,여행 편의성,혼자형,1,서울 단기형,353.856666666667,3.0,도시 소비형,가성비 및 접근성,5,2,2,,,3.0,,,,,,,,,,,1061.57,1.0,,,,,,,,,,,,,,,,,11003,,,,,1,2.0,13.0,1.0,2.0,,,,,,,,,,,13.0,,,,,,,,서울 집중형
1812,2,재방문,안전 및 퀄리티,친구형,0,서울 단기형,342.266666666667,3.0,도시 소비형,경험 및 관계,2,2,2,1.0,2.0,,,,6.0,,,,,,,,1026.8,1.0,,,,,,,,,,,,,,,,,11522,,,,,1,2.0,13.0,1.0,2.0,,,,,,,,,,,13.0,,,,,,,,서울 집중형
1813,1,첫방문,여행 편의성,가족형,1,서울 심층형,231.833333333333,6.0,경험형,K-컬처형,1,2,2,1.0,,3.0,,,,,,,,,,,1391.0,1.0,,,,,,,,,,,,,,,,,11002,,,,,8,5.0,12.0,,,,,5.0,,,8.0,,,,12.0,,,,,,,,,서울 집중형
1814,3,재방문,여행 편의성,가족형,1,서울 단기형,330.800512,5.0,경험형,K-컬처형,5,2,2,1.0,2.0,,,,,,,,,11.0,,,1654.00256,1.0,,,,,,,,,,,,,,,,,11002,,,,,8,2.0,3.0,1.0,2.0,3.0,,,,,8.0,,,,,,,,,,,,,서울 집중형
1815,2,재방문,안전 및 퀄리티,가족형,1,서울 심층형,63.95,10.0,경험형,K-컬처형,5,2,2,1.0,2.0,3.0,,,,,,,,,,,639.5,1.0,,,,,,,,,,,,,,,,,11060,,,,,8,13.0,2.0,,2.0,,,,,,8.0,,,,,13.0,,,,,,,,서울 집중형
1816,2,첫방문,안전 및 퀄리티,혼자형,2,수도권/지방형(탐험가형),185.466666666667,3.0,"역사, 전통, 자연",가성비 및 접근성,1,1,2,,,,,,,,,9.0,,,,13.0,556.4,1.0,,3.0,,,,,,,,,,,,,,,11001,,,,,2,3.0,,,2.0,3.0,,,,,,,,,,,,,,,,,,서울 확산형
1817,2,첫방문,가성비,가족형,1,서울 심층형,468.966666666667,6.0,도시 소비형,경험 및 관계,5,1,2,,2.0,3.0,,,,,,,,,,,2813.8,1.0,,,,,,,,,,,,,,,,,11002,,,,,1,11.0,12.0,1.0,,,4.0,,,,,,,11.0,12.0,,,,,,,,,서울 집중형
1819,2,첫방문,안전 및 퀄리티,기타형,1,서울 심층형,185.466666666667,6.0,도시 소비형,K-컬처형,1,2,2,1.0,,,,,,,,9.0,,,,,1112.8,1.0,,,,,,,,,,,,,,,,,11002,,,,,5,1.0,2.0,1.0,2.0,,,5.0,,,,,,,,,,,,,,,,서울 집중형
1820,2,재방문,여행 편의성,친구형,1,서울 단기형,639.5,1.0,도시 소비형,K-컬처형,5,2,2,,,3.0,,,,,,,,,,,639.5,1.0,,,,,,,,,,,,,,,,,11901,,,,,2,1.0,11.0,1.0,2.0,,,,,,,,,11.0,,,,,,,,,,서울 집중형
1822,2,첫방문,안전 및 퀄리티,가족형,1,서울 심층형,319.75,8.0,도시 소비형,경험 및 관계,5,1,2,,,3.0,4.0,,,,,,,,,,2558.0,1.0,,,,,,,,,,,,,,,,,11003,,,,,8,2.0,1.0,1.0,2.0,,,,,,8.0,,,,,,,,,,,,,서울 집중형
1826,3,첫방문,여행 편의성,친구형,1,서울 단기형,184.5985,5.0,도시 소비형,K-컬처형,5,2,2,,,3.0,,,,,,,,,,,922.9925,1.0,,,,,,,,,,,,,,,,,11003,,,,,2,4.0,16.0,,2.0,,4.0,5.0,,,,,,,,,,,16.0,,18.0,,,서울 집중형
1828,4,재방문,여행 편의성,혼자형,3,수도권/지방형(탐험가형),382.608695652174,23.0,도시 소비형,경험 및 관계,13,2,2,1.0,,3.0,,,,,,,,,,,8800.0,1.0,,,,,,,,,10.0,,,13.0,,,,,11002,,,,,13,2.0,1.0,1.0,2.0,,,,,,,,,,,13.0,,,,,,,,서울 확산형
1829,3,재방문,여행 편의성,혼자형,1,서울 심층형,144.0,6.0,경험형,K-컬처형,3,2,2,1.0,2.0,3.0,4.0,,,,,,,11.0,,,864.0,1.0,,,,,,,,,,,,,,,,,11011,11022.0,,,,8,2.0,9.0,,2.0,,,,,,8.0,9.0,,,,,,,,,,,,서울 집중형
1830,2,첫방문,여행 편의성,친구형,3,서울 심층형,164.892,15.0,경험형,K-컬처형,8,2,2,1.0,,3.0,4.0,5.0,,,,,,,,,2473.38,1.0,,,4.0,,,,,,,,,13.0,,,,,26006,,,,,2,3.0,8.0,1.0,2.0,3.0,,5.0,6.0,,8.0,9.0,,,,,,,,,,,,서울 확산형
1831,3,재방문,안전 및 퀄리티,친구형,1,서울 심층형,264.25,12.0,특수 목적,K-컬처형,8,2,2,,2.0,3.0,4.0,5.0,,,,,,11.0,,,3171.0,1.0,,,,,,,,,,,,,,,,,11002,,,,,2,6.0,12.0,1.0,2.0,3.0,,5.0,6.0,7.0,,,,,12.0,,,,,,,,,서울 집중형
